12920,MALWA EXPRESS,NDLS,INDB,20:30,13:40,17:10H
12416,NDLS INDB EXP,NDLS,INDB,21:50,10:05,12:15H
19326,ASR INDB EXPRESS,NZM,INDB,11:25,00:55,13:30H
14318,DDN INDB EXP,NZM,INDB,13:50,06:10,16:20H
19338,DEE INDB EXPRESS,DEE,INDB,15:00,08:30,17:30H
20958,NDLS INDB SF EXP,NDLS,INDB,19:15,06:45,11:30H
12920,MALWA EXPRESS,NDLS,INDB,20:30,13:40,17:10H
12416,NDLS INDB EXP,NDLS,INDB,21:50,10:05,12:15H
22942,UHP INDB SF EXP,DSJ,INDB,22:40,11:15,12:35H
19308,CDG INDB EXP,NZM,INDB,23:00,15:20,16:20H
19326,ASR INDB EXPRESS,NZM,INDB,11:25,00:55,13:30H
14318,DDN INDB EXP,NZM,INDB,13:50,06:10,16:20H
19338,DEE INDB EXPRESS,DEE,INDB,15:00,08:30,17:30H
20958,NDLS INDB SF EXP,NDLS,INDB,19:15,06:45,11:30H
12920,MALWA EXPRESS,NDLS,INDB,20:30,13:40,17:10H
12416,NDLS INDB EXP,NDLS,INDB,21:50,10:05,12:15H
22942,UHP INDB SF EXP,DSJ,INDB,22:40,11:15,12:35H
19308,CDG INDB EXP,NZM,INDB,23:00,15:20,16:20H
19326,ASR INDB EXPRESS,NZM,INDB,11:25,00:55,13:30H
14318,DDN INDB EXP,NZM,INDB,13:50,06:10,16:20H
19338,DEE INDB EXPRESS,DEE,INDB,15:00,08:30,17:30H
20958,NDLS INDB SF EXP,NDLS,INDB,19:15,06:45,11:30H
12920,MALWA EXPRESS,NDLS,INDB,20:30,13:40,17:10H
12416,NDLS INDB EXP,NDLS,INDB,21:50,10:05,12:15H
22942,UHP INDB SF EXP,DSJ,INDB,22:40,11:15,12:35H
19308,CDG INDB EXP,NZM,INDB,23:00,15:20,16:20H
19326,ASR INDB EXPRESS,NZM,INDB,11:25,00:55,13:30H
14318,DDN INDB EXP,NZM,INDB,13:50,06:10,16:20H
19338,DEE INDB EXPRESS,DEE,INDB,15:00,08:30,17:30H
20958,NDLS INDB SF EXP,NDLS,INDB,19:15,06:45,11:30H
12920,MALWA EXPRESS,NDLS,INDB,20:30,13:40,17:10H
12416,NDLS INDB EXP,NDLS,INDB,21:50,10:05,12:15H
22942,UHP INDB SF EXP,DSJ,INDB,22:40,11:15,12:35H
19308,CDG INDB EXP,NZM,INDB,23:00,15:20,16:20H
19326,ASR INDB EXPRESS,NZM,INDB,11:25,00:55,13:30H
14318,DDN INDB EXP,NZM,INDB,13:50,06:10,16:20H
19338,DEE INDB EXPRESS,DEE,INDB,15:00,08:30,17:30H
20958,NDLS INDB SF EXP,NDLS,INDB,19:15,06:45,11:30H
12920,MALWA EXPRESS,NDLS,INDB,20:30,13:40,17:10H
12416,NDLS INDB EXP,NDLS,INDB,21:50,10:05,12:15H
22942,UHP INDB SF EXP,DSJ,INDB,22:40,11:15,12:35H
19308,CDG INDB EXP,NZM,INDB,23:00,15:20,16:20H
19326,ASR INDB EXPRESS,NZM,INDB,11:25,00:55,13:30H
14318,DDN INDB EXP,NZM,INDB,13:50,06:10,16:20H
19338,DEE INDB EXPRESS,DEE,INDB,15:00,08:30,17:30H
20958,NDLS INDB SF EXP,NDLS,INDB,19:15,06:45,11:30H
12920,MALWA EXPRESS,NDLS,INDB,20:30,13:40,17:10H
12416,NDLS INDB EXP,NDLS,INDB,21:50,10:05,12:15H
22942,UHP INDB SF EXP,DSJ,INDB,22:40,11:15,12:35H
19308,CDG INDB EXP,NZM,INDB,23:00,15:20,16:20H
19326,ASR INDB EXPRESS,NZM,INDB,11:25,00:55,13:30H
14318,DDN INDB EXP,NZM,INDB,13:50,06:10,16:20H
19338,DEE INDB EXPRESS,DEE,INDB,15:00,08:30,17:30H
20958,NDLS INDB SF EXP,NDLS,INDB,19:15,06:45,11:30H
12920,MALWA EXPRESS,NDLS,INDB,20:30,13:40,17:10H
12416,NDLS INDB EXP,NDLS,INDB,21:50,10:05,12:15H
22942,UHP INDB SF EXP,DSJ,INDB,22:40,11:15,12:35H
19308,CDG INDB EXP,NZM,INDB,23:00,15:20,16:20H
18234,NARMADA EXP PSG,JBP,INDB,20:50,10:55,14:05H
22192,JBP INDB EXP,JBP,INDB,23:30,09:35,10:05H
